slug,name,address,vehicle_type,day,time_start,time_end,rate
nus-car-park-4-raffles-hall-cfa-studios,NUS Car Park 4 - Raffles Hall / CFA Studios,Kent Ridge Crescent,Car,Sun & PH,08:00 AM,08:29 AM,Free parking
nus-car-park-5-sports-and-recreation-centre,NUS Car Park 5 - Sports and Recreation Centre,Sports Drive 2,Car,Mon - Fri,08:30 AM,07:30 PM,10 mins grace period; Per min $0.02
nus-car-park-5-sports-and-recreation-centre,NUS Car Park 5 - Sports and Recreation Centre,Sports Drive 2,Car,Mon - Fri,07:31 PM,08:29 AM,Free parking
nus-car-park-5-sports-and-recreation-centre,NUS Car Park 5 - Sports and Recreation Centre,Sports Drive 2,Car,Sat,08:30 AM,05:00 PM,10 mins grace period; Per min $0.02
nus-car-park-5-sports-and-recreation-centre,NUS Car Park 5 - Sports and Recreation Centre,Sports Drive 2,Car,Sat,05:01 PM,08:29 AM,Free parking
nus-car-park-5-sports-and-recreation-centre,NUS Car Park 5 - Sports and Recreation Centre,Sports Drive 2,Car,Sun & PH,08:00 AM,08:29 AM,Free parking
nus-car-park-6b-university-hall,NUS Car Park 6B - University Hall,Lower Kent Ridge Road,Car,Mon - Fri,08:30 AM,07:30 PM,10 mins grace period; Per min $0.02
nus-car-park-6b-university-hall,NUS Car Park 6B - University Hall,Lower Kent Ridge Road,Car,Mon - Fri,07:30 PM,08:29 AM,Free parking
nus-car-park-6b-university-hall,NUS Car Park 6B - University Hall,Lower Kent Ridge Road,Car,Sat,08:30 AM,05:00 PM,10 mins grace period; Per min $0.02
nus-car-park-6b-university-hall,NUS Car Park 6B - University Hall,Lower Kent Ridge Road,Car,Sat,05:01 PM,08:29 AM,Free parking
nus-car-park-6b-university-hall,NUS Car Park 6B - University Hall,Lower Kent Ridge Road,Car,Sun & PH,08:00 AM,08:29 AM,Free parking
nus-car-park-car-park-1-in-front-of-sde,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,Car,Mon - Fri,08:30 AM,07:30 PM,10 mins grace period; Per min $0.02
nus-car-park-car-park-1-in-front-of-sde,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,Car,Mon - Fri,07:31 PM,08:29 AM,Free parking
nus-car-park-car-park-1-in-front-of-sde,NUS Car Park Car Park 1 - In front of SDE,4 Architecture Drive,Car,Sat,08:30 AM,05:00 PM,10 mins grace period; Per min $0.02
