slug,name,address
balestier-plaza,Balestier Plaza,400 Balestier Road Singapore 329802
apex-henderson,Apex @ Henderson,201 Henderson Road S(159545)
balestier-towers,Balestier Towers,207 Balestier Road Singapore 329683
changi-point-coastal-walk-changi-beach-car-park-1-to-6,Changi Point Coastal Walk / Changi Beach (Car Park 1 to 6),Changi Beach
changi-hospital-cgh,Changi Hospital (CGH),2 Simei Street 3 Singapore 529889
changi-hotel,Changi Hotel,80 Changi Road Singapore 419715
changi-ferry-terminal,Changi Ferry Terminal,30 Changi Ferry Road Singapore 499675
changli-sailing-club,Changli Sailing Club,32 Netheravon Road Singapore 508508
changi-village-hotel,Changi Village Hotel,1 Netheravon Road Singapore 508502
charles-keith-building,Charles & Keith Building,21 Tai Seng Street Singapore 534166
chinese-swimming-club,Chinese Swimming Club,21 Amber Road Singapore 439870
alexandra-central,Alexandra Central,321 Alexandra Road S(159971)
kranji-workshop,Kranji Workshop,"6 Kranji Loop, S 739542"
bukit-timah-shopping-centre,Bukit Timah Shopping Centre,170 Upper Bukit Timah Road S(588179)
kranji-war-memorial,Kranji War Memorial,"9 Woodlands Road, Singapore 738656"
mandai-orchid-garden,Mandai Orchid Garden,"20 Mandai Lake Road, Singapore 729825"
macritchie-reservoir-park,MacRitchie Reservoir Park,"Reservoir Road, Singapore 570000"
link-amk,Link@AMK,"3 Ang Mo Kio Street 62, Singapore 569139"
marina-country-club,Marina Country Club,"11 Northshore Drive, Singapore 828670"
marsiling-mall,Marsiling Mall,"4 Woodlands Street 12, Singapore 738623"
mediacorp,Mediacorp,"1 Stars Ave, Singapore 138507"
mcys-building,MCYS Building,"512 Thomson Road, Singapore 298136"
midview-city,Midview City,18 Sin Ming Lane Singapore 573960
new-tech-park,New Tech Park,"151 Lorong Chuan, Singapore 556741"
mount-alvernia-hospital,Mount Alvernia Hospital,"820 Thomson Road, Singapore 574623"
ncs-hub,NCS Hub,"5 Ang Mo Kio Street 62, Singapore 569141"
nanyang-polytechnic,Nanyang Polytechnic,"180 Ang Mo Kio Ave 8, Singapore 569830"
northshore-plaza-1,Northshore Plaza 1,407 Northshore Drive Singapore 820407
nex-mall,Nex Mall,"23 Serangoon Central, Singapore 556083"
one-farrer-hotel-spa,One Farrer Hotel & Spa,"1 Farrer Park Station Road, Singapore 217562"
northpoint-city,Northpoint City,"930 Yishun Avenue 2, Singapore 769098"
civil-service-club-changi-clubhouse,Civil Service Club (Changi Clubhouse),2 Netheravon Road Singapore 508503
one-punggol,One Punggol,"1 Punggol Drive, Singapore 828629"
citimac-industrial-complex,Citimac Industrial Complex,605 Macpherson Road Singapore 368239
city-plaza,City Plaza,810 Geylang Road Singapore 409286
comfortdelgro-driving-centre,ComfortDelGro Driving Centre,205 Ubi Avenue 4 Singapore 408805
orangetee-building,OrangeTee Building,"430 Lorong 6 Toa Payoh, Singapore 319402"
commerze-irving,Commerze @ Irving,1 Irving Place Singapore 369546
compass-one,Compass One,1 Sengkang Square Singapore 545078
orchid-country-club-occ,Orchid Country Club (OCC),"1 Orchid Club Road, Singapore 769162"
cpf-tampines-building-car-park,CPF Tampines Building Car Park,1 Tampines Central 5 Singapore 529508
costa-sands-resort-downtown-east,Costa Sands Resort (Downtown East),1 Pasir Ris Close Singapore 519599
costa-sands-resort-pasir-ris,Costa Sands Resort (Pasir Ris),159M Jalan Loyang Besar Singapore 509404
east-coast-park-carpark-b1,East Coast Park Carpark B1,1000 East Coast Parkway Singapore 449876
crocodile-house,Crocodile House,3 Ubi Avenue 3 Singapore 408857
crowne-plaza-changi-airport,Crowne Plaza Changi Airport,75 Airport Boulevard Singapore 819664
da-jin-factory-building,Da Jin Factory Building,362 Upper Paya Lebar Road Singapore 534963
east-coast-park-carpark-e1,East Coast Park Carpark E1,East Coast Park Service Road
east-coast-park-carpark-b2,East Coast Park Carpark B2,1000 East Coast Parkway Singapore 449876
east-coast-park-carpark-e2,East Coast Park Carpark E2,1220 East Coast Parkway Singapore 468960
east-coast-park-carpark-c1,East Coast Park Carpark C1,1000 East Coast Parkway Singapore 449876
eastgate,Eastgate,46 East Coast Road Singapore 428766
east-coast-park-carpark-e3,East Coast Park Carpark E3,East Coast Park Service Road
east-village,East Village,430 Upper Changi Road Singapore 487048
eastpoint-mall,Eastpoint Mall,3 Simei Street 6 Singapore 528833
enterprise-industrial-building,Enterprise Industrial Building,46 Lorong 17 Geylang Singapore 388568
elias-mall,Elias Mall,625 Elias Road Singapore 510625
eng-say-garden,Eng Say Garden,Siglap Road
enterprise-one,Enterprise One,1 Kaki Bukit Road 1 Singapore 415934
primz-bizhub,Primz Bizhub,"21 Woodlands Close, Singapore 737854"
esr-bizpark-chai-chee,ESR BizPark @ Chai Chee,750 Chai Chee Road Singapore 469000
proxima-gambas,Proxima @ Gambas,"50 Gambas Crescent, Singapore 757022"
pioneer-road-north-industrial-estate,Pioneer Road North Industrial Estate,"1 Pioneer Road North, Singapore 628455"
safra-toa-payoh,SAFRA Toa Payoh,"293 Lorong 6 Toa Payoh, Singapore 319387"
safra-punggol,SAFRA Punggol,"9 Sentul Crescent, Singapore 828654"
esr-bizpark-changi,ESR BizPark @ Changi,"2, 4, 6, 8 Changi Business Park Avenue 1 Singapore 486018"
republic-polytechnic,Republic Polytechnic,"9 Woodlands Ave 9, Singapore 738964"
seletar-country-club,Seletar Country Club,"101 Seletar Club Road, Singapore798273"
safra-yishun,SAFRA Yishun,"60 Yishun Avenue 4, Singapore 69027"
sembawang-clubhouse,Sembawang Clubhouse,"43 Admiralty Road West, Singapore 759962"
eunos-technolink,Eunos Technolink,3 Kaki Bukit Road 1 Singapore 415935
sembawang-shopping-centre,Sembawang Shopping Centre,"604 Sembawang Road, Singapore 758459"
fairprice-hub,Fairprice Hub,1 Joo Koon Circle Singapore 629117
excalibur-centre,Excalibur Centre,71 Ubi Crescent Singapore 408571
sembawang-country-club,Sembawang Country Club,"249 Sembawang Road, Singapore 758352"
senoko-fishery-port,Senoko Fishery Port,"31 Attap Valley Road, Singapore 759908"
sengkang-grand-mall,Sengkang Grand Mall,"70 Compassvale Bow, Singapore 544692"
geylang-serai-market,Geylang Serai Market,1 Geylang Serai Singapore 402001
geylang-field,Geylang Field,30 Lorong 12 Geylang Singapore 399005
gordon-warehouse-building,Gordon Warehouse Building,9 Kaki Bukit Road 2 Singapore 417842
golden-mile-food-court,Golden Mile Food Court,505 Beach Road Singapore 199583
goodwill-court,Goodwill Court,81 Upper East Coast Road Singapore 455220
grand-mercure-roxy-hotel,Grand Mercure Roxy Hotel,50 East Coast Road Singapore 28769
hdb-bedok-town-centre-blk-204,HDB Bedok Town Centre Blk 204,204 Bedok North Street 1 Singapore 460204
hainanese-village-centre-lorong-ah-soo-market,Hainanese Village Centre (Lorong Ah Soo Market),105 Hougang Avenue 1 Singapore 530105
grandlink-square,Grandlink Square,511 Guillemard Road Singapore 399849
great-eastern-changi,Great Eastern @ Changi,200 Changi Road Singapore 419734
hdb-blk-700a-pasir-ris-drive-10,HDB Blk 700A (Pasir Ris Drive 10),710A Pasir Ris Drive 10 Singapore 511700
hdb-bedok-town-centre-blk-211,HDB Bedok Town Centre Blk 211,211 New Upper Changi Road Singapore 460211
22-martin-road,22 Martin Road,22 Martin Road Singapore 239058
hdb-bedok-town-centre-blk-208a,HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208
71-robinson-road,71 Robinson Road,71 Robinson Road Singapore 068895
61-robinson,61 Robinson,61 Robinson Road Singapore 068893
hdb-blk-710a-pasir-ris-street-72,HDB Blk 710A (Pasir Ris Street 72),"710A Pasir Ris Street 72, S(511710)"
hdb-blk-718a-pasir-ris-street-72,HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72 Singapore 511718
action-theatre,ACTION Theatre,42 Waterloo Street Singapore 187951
abi-plaza,ABI Plaza,11 Keppel Road Singapore 089057
heartland-mall,Heartland Mall,205 Hougang Street 21 Singapore 530205
heartbeat-bedok,Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662
alliance-francaise-de-singapour,Alliance Francaise de Singapour,1 Sarkies Road Singapore 258130
aia-tower,AIA Tower,"1 Robinson Road, S(048542)"
hindoo-road-kampong-kapor-road,Hindoo Road / Kampong Kapor Road,Hindoo Road / Kampong Kapor Road
hexacube,HexaCube,160 Changi Road Singapore 419728
armenian-church-of-saint-gregory,Armenian Church of Saint Gregory,60 Hill Street Singapore 179366
balestier-warehouse,Balestier Warehouse,"12A Jalan Ampas, S(329516)"
bangkok-bank-building,Bangkok Bank Building,180 Cecil Street Singapore 069546
serangoon-stadium,Serangoon Stadium,"35 Yio Chu Kang Road, Singapore 545552"
singapore-godown,Singapore Godown,"25 Tagore Lane, Singapore 787602"
sin-ming-plaza,Sin Ming Plaza,"6 Sin Ming Road, Singapore 575585"
singapore-islamic-hub,Singapore Islamic Hub,"273 Braddell Road, Singapore 579702"
sin-ming-autocity,Sin Ming AutoCity,"160 Sin Ming Drive, Singapore 575722"
sun-plaza,Sun Plaza,"30 Sembawang Drive, Singapore 757713"
singapore-turf-club-stc,Singapore Turf Club (STC),"1 Turf Club Avenue Singapore Racecourse, Singapore 738078"
